Place,State,2011 (estimated)
Elgin,Illinois,109104
Wilmington,North Carolina,108297
Westminster,Colorado,107967
Rochester,Minnesota,107890
Clearwater,Florida,107784
Lowell,Massachusetts,107584
Pueblo,Colorado,107577
Arvada,Colorado,107541
San Buenaventura (Ventura),California,107514
Gresham,Oregon,107439
Fargo,North Dakota,107349
Carlsbad,California,106888
West Covina,California,106870
Norwalk,California,106309
Fairfield,California,106126
Cambridge,Massachusetts,106038
Murrieta,California,105857
Green Bay,Wisconsin,105809
High Point,North Carolina,105753
West Jordan,Utah,105675
Billings,Montana,105636
Richmond,California,105380
Round Rock,Texas,104664
Everett,Washington,104295
Burbank,California,104092
Antioch,California,104044
Wichita Falls,Texas,103931
Palm Bay,Florida,103227
Centennial,Colorado,102603
Temecula,California,102464
Daly City,California,102362
Odessa,Texas,102106
Erie,Pennsylvania,101807
Richardson,Texas,101742
Pompano Beach,Florida,101617
Flint,Michigan,101558
South Bend,Indiana,101081
West Palm Beach,Florida,101043
El Cajon,California,100928
Davenport,Iowa,100802
Rialto,California,100662
Santa Maria,California,100277
Broken Arrow,Oklahoma,100073
Kenosha,Wisconsin,99738
North Charleston,South Carolina,99727
Las Cruces,New Mexico,99665
Boulder,Colorado,98889
Lewisville,Texas,98737
Lakeland,Florida,98589
Tyler,Texas,98564
San Mateo,California,98391
Lawton,Oklahoma,98177
Albany,New York,97660
Compton,California,97156
Dearborn,Michigan,97144
Clovis,California,96929
Sandy Springs,Georgia,96856
Roanoke,Virginia,96714
Livonia,Michigan,95958
Portsmouth,Virginia,95684
Vista,California,95204
New Bedford,Massachusetts,95183
College Station,Texas,95142
South Gate,California,95084
Greeley,Colorado,94962
Mission Viejo,California,94721
San Angelo,Texas,94544
Yuma,Arizona,94536
Brockton,Massachusetts,94316
Davie,Florida,93674
Hillsboro,Oregon,93455
Pearland,Texas,93305
Vacaville,California,93088
Quincy,Massachusetts,92909
Renton,Washington,92812
Yakima,Washington,92512
Carson,California,92376
Macon,Georgia,91856
Lee's Summit,Missouri,91668
Beaverton,Oregon,91625
Tuscaloosa,Alabama,91605
Hesperia,California,91534
Sparks,Nevada,91195
Roswell,Georgia,91168
Federal Way,Washington,91085
Westminster,California,91064
Lynn,Massachusetts,91040
Orem,Utah,90727
Santa Monica,California,90377
Spokane Valley,Washington,90279
Redding,California,90138
Miami Beach,Florida,89840
Waukegan,Illinois,89426
Rio Rancho,New Mexico,89320
Sandy,Utah,89200
Santa Barbara,California,89045
Fall River,Massachusetts,88962
Lawrence,Kansas,88727
Reading,Pennsylvania,88414
Longmont,Colorado,87712
Allen,Texas,87473
Fort Smith,Arkansas,87152
Nashua,New Hampshire,86704
Plantation,Florida,86524
Newport Beach,California,86484
Norwalk,Connecticut,86460
Chico,California,86290
Duluth,Minnesota,86277
San Leandro,California,86071
Greenville,North Carolina,86017
Sunrise,Florida,85995
Newton,Massachusetts,85945
Whittier,California,85943
Boca Raton,Florida,85329
Deltona,Florida,85219
San Marcos,California,85022
Suffolk,Virginia,84930
Hawthorne,California,84905
Trenton,New Jersey,84899
League City,Texas,84856
Asheville,North Carolina,84458
Citrus Heights,California,84330
Clifton,New Jersey,84269
Tracy,California,84266
Cicero,Illinois,84261
Bloomington,Minnesota,84057
Ogden,Utah,83949
Alhambra,California,83693
Westland,Michigan,83239
Sioux City,Iowa,82967
Edmond,Oklahoma,82963
Nampa,Idaho,82755
Warwick,Rhode Island,82361
Livermore,California,82039
Hoover,Alabama,82003
Bellingham,Washington,81862
Buena Park,California,81747
Sugar Land,Texas,81700
Danbury,Connecticut,81671
Carmel,Indiana,81564
Troy,Michigan,81508
Bloomington,Indiana,81381
Longview,Texas,81336
Champaign,Illinois,81291
Parma,Ohio,80968
Hammond,Indiana,80757
Lakewood,California,80634
Concord,North Carolina,80597
O'Fallon,Missouri,80519
Hemet,California,80467
Cranston,Rhode Island,80392
Farmington Hills,Michigan,80258
Merced,California,80232
Gary,Indiana,80221
Mission,Texas,79368
Menifee,California,79312
Johns Creek,Georgia,79192
Edinburg,Texas,79147
Fishers,Indiana,79127
Chino,California,79059
Racine,Wisconsin,78853
Lake Forest,California,78439
Bend,Oregon,77905
Napa,California,77867
Indio,California,77780
Redwood City,California,77745
Largo,Florida,77723
Albany,Georgia,77683
New Rochelle,New York,77606
Avondale,Arizona,77518
Bryan,Texas,77321
Camden,New Jersey,77283
St. Joseph,Missouri,77185
Bellflower,California,77170
Bloomington,Illinois,77071
Lawrence,Massachusetts,76976
Brooklyn Park,Minnesota,76853
Meridian,Idaho,76750
Tustin,California,76689
Somerville,Massachusetts,76519
Lynchburg,Virginia,76504
Palm Coast,Florida,76499
Deerfield Beach,Florida,76389
Kennewick,Washington,76224
Decatur,Illinois,76096
Melbourne,Florida,76095
Scranton,Pennsylvania,75995
Baldwin Park,California,75940
Chino Hills,California,75928
Medford,Oregon,75501
Arlington Heights,Illinois,75428
Bethlehem,Pennsylvania,75266
Mountain View,California,75235
Fayetteville,Arkansas,75102
Upland,California,74837
Evanston,Illinois,74785
Alameda,California,74774
St. George,Utah,74770
Kalamazoo,Michigan,74743
Schaumburg,Illinois,74550
Bolingbrook,Illinois,73802
San Ramon,California,73333
Baytown,Texas,73322
New Britain,Connecticut,73261
Appleton,Wisconsin,73243
Folsom,California,73001
Canton,Ohio,72919
Wyoming,Michigan,72833
Pharr,Texas,72513
Lake Charles,Louisiana,72475
Southfield,Michigan,72201
Gastonia,North Carolina,72068
Plymouth,Minnesota,71561
Auburn,Washington,71517
Rochester Hills,Michigan,71452
Springdale,Arkansas,71397
Wilmington,Delaware,71305
Pleasanton,California,71215
Pawtucket,Rhode Island,71153
Waukesha,Wisconsin,70867
Jacksonville,North Carolina,70801
Union City,California,70436
Lynwood,California,70257
Apple Valley,California,70172
Muncie,Indiana,70080
Perris,California,69967
Passaic,New Jersey,69893
Missouri City,Texas,69774
Redlands,California,69752
Mount Pleasant,South Carolina,69357
Gulfport,Mississippi,69220
Rapid City,South Dakota,69200
Turlock,California,69089
Boynton Beach,Florida,68996
Iowa City,Iowa,68947
Palatine,Illinois,68858
Waterloo,Iowa,68653
Santa Fe,New Mexico,68642
Jonesboro,Arkansas,68547
Warner Robins,Georgia,68500
Layton,Utah,68495
Manteca,California,68254
Loveland,Colorado,68203
Lauderhill,Florida,68117
Lafayette,Indiana,67947
Milpitas,California,67804
Mount Vernon,New York,67780
Rock Hill,South Carolina,67423
Missoula,Montana,67290
Redondo Beach,California,67233
Temple,Texas,67188
Union City,New Jersey,67187
Flower Mound,Texas,67019
Kenner,Louisiana,66715
Eau Claire,Wisconsin,66623
St. Charles,Missouri,66598
Youngstown,Ohio,66571
Weston,Florida,66544
Portland,Maine,66363
Oshkosh,Wisconsin,66344
Goodyear,Arizona,66309
Schenectady,New York,66273
St. Cloud,Minnesota,66169
Frederick,Maryland,66169
Harlingen,Texas,66122
Davis,California,66016
Dothan,Alabama,66010
Flagstaff,Arizona,65914
Camarillo,California,65895
Rancho Cordova,California,65606
Palo Alto,California,65412
Yorba Linda,California,65215
Walnut Creek,California,65211
Jackson,Tennessee,65187
Skokie,Illinois,65066
Yuba City,California,65050
